id,user_id,gumroad_sale_id,gumroad_email,status,plan_type,purchased_at,expires_at,created_at,updated_at
0b232bbb-2164-48e8-89c2-3f98dd78fb8c,d13adab6-1ded-4ef9-9a6c-3e0bfb303b18,,,active,pro,2026-01-19 12:34:55.828754+00,,2026-01-19 12:34:55.828754+00,2026-01-19 12:34:55.828754+00
979e395f-08eb-4526-84d6-c4e4c5ce391c,a79869b2-bf6c-4ae7-9502-90bd785ea93f,,,active,pro,2026-01-19 12:34:55.828754+00,,2026-01-19 12:34:55.828754+00,2026-01-19 12:34:55.828754+00
9d17246f-8378-49b7-94ef-2cdfc4c3a8e2,db1f7fdd-9e6a-4ecb-81f7-8eb5a7a1db09,,,active,pro,2026-01-19 12:34:55.828754+00,,2026-01-19 12:34:55.828754+00,2026-01-19 12:34:55.828754+00
